Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5TqtBDyIdZiTpfJZL2o10M,"Sunmomi","Mr. Money With The Vibe","Asake",2022-09-07,168421,59,false,soundwayrecs,2023-01-17T11:49:18Z,"afrobeats,afrobeat,afropiano,afro adura,afropop,amapiano,afroswing,afro r&b","YBNL Nation / EMPIRE",0.855,0.787,9,-7.307,1,0.049,0.149,0.00677,0.0857,0.238,114.028,4
spotify:track:0AULxj8PjVnPL8vuUGwVkb,"Shēnzhou V.","The Age of Aquarius","Yin Yin",2022-03-04,368108,35,false,soundwayrecs,2022-11-25T04:02:10Z,"neo-psychedelisch","Glitterbeat Records",0.628,0.949,6,-4.789,1,0.0353,0.0328,0.797,0.398,0.896,95,4
spotify:track:1NmAT5rTQdRLUQGfddJlvn,"Ewà Inú","Could We Be More","Kokoroko",2022-08-05,401293,34,false,soundwayrecs,2022-09-04T23:31:06Z,"","Brownswood Recordings",0.689,0.765,5,-10.462,0,0.0438,0.117,0.862,0.112,0.782,96.762,3
spotify:track:53xenEaeez72MJjip2P34q,"Loose Up Yourself","Make It Fast, Make It Slow","Rob",2012-03-26,204146,21,false,soundwayrecs,2022-11-30T09:29:27Z,"afrobeat,highlife","Soundway Records Ltd",0.836,0.653,7,-9.957,1,0.28,0.769,0.335,0.083,0.787,112.674,4
spotify:track:5iYeFm1fvRsAvbn5lNLziD,"Yinne","Yinne","Florence Adooni",2022-10-07,260635,11,false,soundwayrecs,2022-11-04T07:08:53Z,"","Philophon",0.484,0.852,0,-7.444,0,0.0766,0.0362,0.28,0.464,0.889,130.38,4
spotify:track:0g39c1wm3U7lTBTjmXF5II,"S.O.L","BIB10","Bibio;Olivier St.Louis",2022-10-21,351546,0,false,soundwayrecs,2022-11-14T01:30:41Z,"ambient folk,downtempo,hedendaagse r&b","Warp Records",0.802,0.662,11,-9.547,0,0.0524,0.00181,0.18,0.0343,0.508,117.87,4
spotify:track:2SfxlQtM71CfCSptmPFogt,"Jungle Rock","Sweet Vibration","Charles Amoah",2022-09-02,386681,1,false,soundwayrecs,2022-09-15T04:32:12Z,"highlife,hiplife","Soundway Records Ltd",0.652,0.786,8,-11.228,1,0.0678,0.00819,0.102,0.412,0.696,112.311,4
spotify:track:7e7bWo53hCu410Ir8qRyv4,"N'Kene","Ogooué","François N'Gwa",2019-11-25,355954,10,false,soundwayrecs,2022-05-30T06:50:02Z,"","Into The Deep Treasury",0.71,0.495,10,-13.967,0,0.0904,0.266,0.000277,0.104,0.609,95.577,4
spotify:track:7lrZraPsneEHRtz6J12aNR,"GMT","GMT","Nyamekye Junction",2022-04-27,263138,2,false,soundwayrecs,2022-06-02T01:02:12Z,"","Kitto Records",0.75,0.713,8,-6.79,1,0.0886,0.0675,0.000264,0.0705,0.625,140.111,4
spotify:track:0Q2Gq6ddwyfbpScUIBcgOf,"A Ver, a Ver - Ric Piccolo Edit","A Ver, a Ver (Ric Piccolo Edit)","Donald",2022-08-24,305920,9,false,soundwayrecs,2022-08-25T00:10:00Z,"","Soundway Records Ltd",0.704,0.697,9,-9.524,1,0.0659,0.183,0.0519,0.0342,0.744,108.002,4
spotify:track:2V1ThIu3kVbm4gc27RHqzm,"Obio","Obio","Sai Galaxy;Gabriel Otu",2022-06-23,331000,14,false,soundwayrecs,2022-08-26T00:19:18Z,"","Soundway Records Ltd",0.839,0.621,8,-9.078,1,0.0564,0.0123,0.00415,0.0606,0.643,123.396,4
spotify:track:70sQVLZQdxoumYPmMrHZYS,"Zoukamine","Zoukolexion Vol. 2","Patrick Saint-Eloi;Kassav'",2008,282413,6,false,soundwayrecs,2022-08-23T03:56:47Z,"zouk,kompa,kizomba","Note A Bene",0.715,0.809,8,-6.659,1,0.0407,0.00416,0.34,0.0422,0.88,113.99,4
spotify:track:6Ml0pXK3vN2DhLUDMcq3cD,"Ella Viene","Ciudad de Tonos Lejanos","Carlos Cutaia",2005-10-15,203186,1,false,soundwayrecs,2022-05-16T04:13:58Z,"","RGS Music Bajo Licencia Babylon",0.516,0.637,7,-9.403,1,0.0425,0.427,0.798,0.132,0.416,118.987,4
spotify:track:0KtBrnWL7upuXbYxKR42XQ,"Enjera","Enjera","Family Atlantica",2016-03-30,192146,0,false,soundwayrecs,2018-03-01T14:28:22Z,"afro-cubaanse jazz","Soundway Records",0.7,0.914,7,-4.007,1,0.0541,0.0854,0.793,0.131,0.838,122.355,4
spotify:track:2ipsQNDHiHfJBkJlWRmQus,"Atormentada","Magnetismo","La Yegros",2016-03-11,203315,0,false,soundwayrecs,2018-03-01T14:28:22Z,"electrocumbia,chicha","Soundway Records",0.952,0.541,11,-8.252,0,0.0671,0.11,0.000194,0.0663,0.948,104.996,4
spotify:track:2kbvo2XIT8JYtnw1PDUq0I,"Ikebe","Down to Earth","Odion Iruoje",2016-07-29,300162,0,false,soundwayrecs,2018-03-01T14:28:22Z,"highlife","Soundway Records",0.692,0.848,5,-9.106,0,0.0595,0.058,0.0302,0.125,0.875,119.195,4
spotify:track:52AUkY3eBz7b6BS2WXv1Uq,"Sintayehu","Wede Harer Guzo","Hailu Mergia;Dahlak Band",2016-06-17,408280,0,false,soundwayrecs,2018-03-01T14:28:22Z,"ethiopische jazz","Awesome Tapes From Africa",0.369,0.746,1,-11.206,1,0.0613,0.00886,0.734,0.343,0.704,89.198,4
spotify:track:1QVF9JOvsO9koQhq1XQTzy,"The Sweetest Meditation","Harmonies","Lord Echo;Mara TK",2017-04-07,354213,0,false,soundwayrecs,2021-10-30T06:33:07Z,"indiesoul,nz reggae","Soundway Records",0.775,0.805,11,-8.594,0,0.0518,0.198,0.111,0.0912,0.717,114.886,4
spotify:track:0ubsH45fNXKDU6Qfp5tErY,"Full Blast","Sweet Sweet Music","Wrong Way Up",2025-01-15,235669,2,false,soundwayrecs,2025-01-15T12:30:13Z,"","Soundway Records Ltd",0.822,0.46,1,-9.891,1,0.0807,0.00132,0.0000226,0.0587,0.9,127.991,4
spotify:track:79rhRXWCrVHjkhh0S0VXnC,"Soca Panda Riddim","Soca Panda Riddim","Ransum",2025-04-09,195559,1,false,soundwayrecs,2025-04-09T07:55:57Z,"","Soundway Records Ltd",0.688,0.911,8,-6.731,0,0.19,0.0000181,0.793,0.114,0.554,161.822,4
spotify:track:6tKWD6go3f1GVOSgEjfp2w,"Mizu","Mizu","The Circling Sun",2025-06-11,193986,7,false,soundwayrecs,2025-06-12T07:23:50Z,"","Soundway Records Ltd",0.588,0.628,5,-13.507,0,0.0502,0.582,0.446,0.0917,0.858,85.328,4
spotify:track:164URgAYmysDFrYPMrWFTo,"ZIGUIDI","KLAKETO","Sergio Maxy",2024-12-19,244036,0,false,soundwayrecs,2025-06-30T14:06:57Z,"","Ajip",0.851,0.716,7,-5.345,0,0.0522,0.151,0.00000835,0.0921,0.911,100.004,4
spotify:track:6B1Q8PGEg1haHzjMbOPX75,"An vil brilé","Ragga Sun Hit (Les tubes des années Ragga kreol) [100 titres]","MC Janik",2016-07-01,254733,0,false,soundwayrecs,2025-06-30T14:19:21Z,"ragga,franse rap","Poker Production",0.866,0.847,2,-9.681,1,0.329,0.559,0,0.173,0.859,123.939,4
spotify:track:7w2jMzPMKc6d2ZJhYaVTqL,"Ragga Dub","Ragga Sun Hit","Ragga Sun Hit",1993,191200,2,false,soundwayrecs,2025-06-30T14:22:18Z,"ragga","Poker Production",0.77,0.622,9,-15.165,0,0.066,0.000577,0.923,0.08,0.946,98.355,4
spotify:track:6LnhcUUiz53FuWxq6cLvDM,"Questão De Gosto","Questão De Gosto","Leci Brandao",1976-08-12,151819,11,false,soundwayrecs,2025-06-30T14:50:48Z,"samba,pagode,mpb","Universal Music Ltda.",0.688,0.775,9,-10.484,0,0.142,0.735,0.0000173,0.101,0.953,124.74,4
spotify:track:1UjxZO3y9QqdBPIuZMYRfU,"Ohiani Sua Efir","Ohiani Sua Efir","Asaase Ase",2025-10-03,242026,12,false,soundwayrecs,2025-10-06T08:31:19Z,"highlife,afrobeat","Soundway Records Ltd",0.573,0.767,1,-6.95,0,0.0502,0.461,0.0000297,0.531,0.797,118.54,4
spotify:track:2agTng2bLxU9lqjwf2h1pZ,"No Abiding City - Instrumental","No Abiding City","Dumama",2026-01-23,250210,2,false,soundwayrecs,2026-01-23T05:28:20Z,"electroclash","Soundway Records Ltd",0.36,0.454,2,-14.103,0,0.137,0.793,0.792,0.175,0.338,75.955,4
spotify:track:3i168KYzzn8xZ9SdP6OZ6Y,"Pastime Paradise","Pastime Paradise","Charlie's Roots",1975-01-01,210650,3,false,soundwayrecs,2026-02-07T08:19:21Z,"","Soundway Records Ltd",0.494,0.683,0,-14.858,0,0.0461,0.815,0.931,0.11,0.955,107.941,4
